## Ämnesklass
Alkalimetall;3,11,19,37,55,87
Alkalisk jordartsmetall;4,12,20,38,56,88
Lantanoid;71,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Aktinoid;89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
Övergångsmetall;21,22,23,24,25,26,27,28,29,30,39,40,41,42,43,44,45,46,47,48,72,73,74,75,76,77,78,79,80,104,105,106,107,108,112
Övrig metall;13,31,49,50,81,82,83,84,114
Halvmetall;5,14,32,33,51,52,85
Diatomisk icke-metall;1,7,8,9,17,35,53
Polyatomisk icke-metall;6,15,16,34
Ädelgas;2,10,18,36,54,86
Okända kemiska egenskaper;109,110,111,113,115,116,117,118
## Aggregationstillstånd vid  0°C och 1 atm
flytande;35,80
gas;1,2,7,8,9,10,17,18,36,54,86
okänt;100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
fast;3,4,5,6,11,12,13,14,15,16,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,81,82,83,84,85,87,88,89,90,91,92,93,94,95,96,97,98,99
## Kolumn i Periodiska Systemet
1;1,3,11,19,37,55,87
2;4,12,20,38,56,88
3;21,39,57,71,103,57,89
4;22,40,58,72,104,90
5;23,41,59,73,105,91
6;24,42,60,74,92,106
7;25,43,61,75,93,107
8;26,44,62,76,94,108
9;27,45,63,77,95,109
10;28,46,64,78,96,110
11;29,47,65,79,97,111
12;30,48,66,80,98,112
13;5,13,31,49,67,81,99,113
14;6,14,32,50,68,82,100,114
15;7,15,33,51,69,83,101,115
16;8,16,34,52,70,84,102,116
17;9,17,35,53,85,117
18;2,10,18,36,54,86,118
## Rad i Periodiska Systemet
1;1,2
2;3,4,5,6,7,8,9,10
3;11,12,13,14,15,16,17,18
4;19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
5;37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
6;55,56,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
7;87,88,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
8;57,58,59,60,61,62,63,64,65,66,67,68,69,70
9;89,90,91,92,93,94,95,96,97,98,99,100,101,102
